artist,album,single_count
2Cellos,2Cellos,3
Deep Dark Robot,8 Songs About a Girl,0
The Young Professionals,"9am to 5pm, 5pm to Whenever
(09:00 to 17:00, 17:00 to Whenever)",0
Flash Bang Grenada,10 Haters,0
Her Majesty & the Wolves,111,3
Miss A,A Class,4
Ace Augustine,The Absolute,0
Adalita,Adalita,3
Lucy Ward,Adelphi Has to Fly,0
CocknBullKid,Adulthood,4
The Adults,The Adults,0
S.C.U.M,Again into Eyes,3
Aggro Santos,AggroSantos.com,3
Syven,Aikaintaite,0
Alexis Jordan,Alexis Jordan,3
7eventh Time Down,Alive in You,2
Verah Falls,All Our Yesterdays,0
Amanda Fondell,All This Way,1
The Sand Band,All Through the Night,0
Evan Brewer,Alone,0
Cir.Cuz,Alt I Sin Tid,0
AKA,Altar Ego,4
Amaranthe,Amaranthe,4
A Pale Horse Named Death,And Hell Will Follow Me,0
Andy Grammer,Andy Grammer,3
Animetal USA,Animetal USA,0
Anna Calvi,Anna Calvi,3
Mark Stoermer,Another Life,0
Anthem Lights,Anthem Lights,0
Antonionian,Antonionian,0
The Aristocrats,The Aristocrats,0
Avion Roe,The Art of Fiction,2
Kyla La Grange,Ashes,0
Astro,Astro,0
Howie Dorough,Back to Me,3
Shlohmo,Bad Vibes,0
Dirty Beaches,Badlands,0
Momoiro Clover Z,Battle and Romance,5
Glasses Malone,Beach Cruiser,4
Beastwars,Beastwars,0
Jai McDowall,Believe,0
The Belle Brigade,The Belle Brigade,2
We Are the In Crowd,Best Intentions,4
Get Scared,Best Kind of Mess,3
Pathfinder,"Beyond the Space, Beyond the Time",0
Kat & Roman Kostrzewski,Biało-czarna,0
The Joy Formidable,The Big Roar,6
Big Talk,Big Talk,3
Birdy,Birdy,4
The Black Belles,The Black Belles,2
Shabazz Palaces,Black Up,0
Mac Miller,Blue Slide Park,4
Vintage Trouble,The Bomb Shelter Sessions,3
Anna Rossinelli,Bon Voyage,2
Rainbow Arabia,Boys and Diamonds,0
BiS,Brand-new idol Society,2
The Chapman Family,Burn Your Town,4
Tennis,Cape Dory,0
Cat's Eyes,Cat's Eyes,2
Sleeper Agent,Celabraison,2
Cerebral Ballzy,Cerebral Ballzy,3
Ford & Lopatin,Channel Pressure,2
Phonte,Charity Starts at Home,0
Chiaki Kuriyama,Circus,19
Scotty McCreery,Clear as Day,3
J. Cole,Cole World: The Sideline Story,3
Collectif Paris-Africa,Collectif Paris-Africa pour l'UNICEF,1
Yellowbirds,The Color,0
Miles Kane,Colour of the Trap,3
Ringo Deathstarr,Colour Trip,0
Casey Darnell,Coming Alive,0
Gideon,Costs,0
Craig Campbell,Craig Campbell,3
David Lynch,Crazy Clown Time,4
Still Corners,Creatures of an Hour,0
Young Legionnaire,Crisis Works,1
Cults,Cults,5
Young Rebel Set,Curse Our Love,0
Brite Futures,Dark Past,0
Girls Names,Dead to Me,1
Decoder,Decoder,1
Elisa's,Det här är bara början,0
Mia Martina,Devotion,6
Beady Eye,"Different Gear, Still Speeding",5
Cities Aviv,Digital Lows,0
Rory Scovel,Dilation,0
Northlane,Discoveries,0
Hope for the Dying,Dissimulation,0
Pac Div,The DiV,0
Emily's Army,Don't Be a Dick,2
Great Cynics,Don't Need Much,0
Falling in Reverse,The Drug in Me Is You,5
Destroy Rebuild Until God Shows,D.R.U.G.S,4
B.G. Knocc Out,Eazy-E's Protege,1
AraabMuzik,Electronic Dream,0
The Birthday Suit,The Eleventh Hour,0
Eli Lieb,Eli Lieb,0
The Horrible Crowes,Elsie,1
Emika,Emika,5
Mélanie Laurent,En t'attendant,1
Auryn,"Endless Road, 7058",5
Dreamers of the Ghetto,Enemy/Lover,0
Gazelle Twin,The Entire City,0
Seirom,Eremitic,0
Singing Adams,Everybody Friends Now,0
Pyrrhon,An Excellent Servant But a Terrible Master,0
Dulce María,Extranjera - Primera Parte,3
aTelecine,The Falcon and the Pod,0
Viva Brother,Famous First Words,3
Joe Jonas,Fastlife,2
Fatoumata Diawara,Fatou,0
Austra,Feel It Break,3
Big Sean,Finally Famous,3
Christina Grimmie,Find Me,2
Chris Crocker,The First Bite,2
The Plot in You,First Born,1
CNBLUE,First Step,2
Jay Rock,Follow Me Home,2
Jamala,For Every Heart,3
Torae,For the Record,2
Romeo Santos,"Formula, Vol. 1",6
Frankie Ballard,Frankie Ballard,2
Dom Kennedy,From the Westside with Love II,0
