artist,album,metascore,userscore,release_date
Sleep,The Sciences,86,tbd,"Apr 20, 2018"
Lord Huron,Vide Noir,70,8.1,"Apr 20, 2018"
Alexis Taylor,Beautiful Thing,71,tbd,"Apr 20, 2018"
Old Crow Medicine Show,Volunteer,85,tbd,"Apr 20, 2018"
Drinks,Hippo Lite,74,tbd,"Apr 20, 2018"
A Perfect Circle,Eat the Elephant,71,7.1,"Apr 20, 2018"
Sting,44/876,49,5.4,"Apr 20, 2018"
Joshua Hedley,Mr. Jukebox,78,tbd,"Apr 20, 2018"
Tesseract,Sonder,68,7.7,"Apr 20, 2018"
The National Jazz Trio of Scotland,"Standards, Vol. IV",74,tbd,"Apr 20, 2018"
Ashley Monroe,Sparrow,89,tbd,"Apr 20, 2018"
Melvins,Pinkus Abortion Technician,69,tbd,"Apr 20, 2018"
Kimbra,Primal Heart,81,9.0,"Apr 20, 2018"
J. Cole,KOD,77,7.9,"Apr 20, 2018"
Neil Young,Paradox [Original Music from the Film],61,tbd,"Apr 20, 2018"
Neil Young,Roxy: Tonight's the Night Live,89,tbd,"Apr 20, 2018"
Say Sue Me,Where We Were Together,80,tbd,"Apr 13, 2018"
Novelist,Novelist Guy,77,tbd,"Apr 13, 2018"
Tinashe,Joyride,71,8.3,"Apr 13, 2018"
Manic Street Preachers,Resistance Is Futile,73,6.7,"Apr 13, 2018"
The Damned,Evil Spirits,75,tbd,"Apr 13, 2018"
John Prine,The Tree of Forgiveness,78,tbd,"Apr 13, 2018"
A Place to Bury Strangers,Pinned,68,tbd,"Apr 13, 2018"
Laura Veirs,The Lookout,82,8.8,"Apr 13, 2018"
Mouse on Mars,Dimensional People,75,tbd,"Apr 13, 2018"
Josh T. Pearson,The Straight Hits!,64,tbd,"Apr 13, 2018"
Josh Rouse,Love in the Modern Age,70,tbd,"Apr 13, 2018"
Rival Consoles,Persona,90,9.1,"Apr 13, 2018"
Confidence Man,Confident Music for Confident People,77,tbd,"Apr 13, 2018"
King Tuff,The Other,77,tbd,"Apr 13, 2018"
Mr. Fingers,Cerebral Hemispheres,78,tbd,"Apr 13, 2018"
Derek Smalls,Smalls Change (Meditations Upon Ageing),55,tbd,"Apr 13, 2018"
