artist,album,metascore,userscore,release_date
Bitchin Bajas,Bajas Fresh,77,tbd,"Nov 17, 2017"
Karine Polwart,A Pocket of Wind Resistance,84,tbd,"Nov 17, 2017"
Sia,Everyday Is Christmas,59,7.6,"Nov 17, 2017"
Charles Hayward,Improvisations,65,tbd,"Nov 17, 2017"
Godflesh,Post Self,84,tbd,"Nov 17, 2017"
Talib Kweli,Radio Silence,78,8.6,"Nov 17, 2017"
Mike Love,Unleash the Love,43,tbd,"Nov 17, 2017"
Various Artists,Diggin in the Carts: A Collection Of Pioneering Japanese Video Game Music,82,tbd,"Nov 17, 2017"
Electric Eye,From the Poisonous Tree,64,tbd,"Nov 17, 2017"
Bob Seger,I Knew You When,61,tbd,"Nov 17, 2017"
The Corrs,Jupiter Calling,58,5.1,"Nov 10, 2017"
Four Tet,New Energy,86,8.1,"Sep 29, 2017"
Sleigh Bells,Kid Kruschev,65,7.0,"Nov 10, 2017"
Gun Outfit,Out of Range,81,tbd,"Nov 10, 2017"
Taylor Swift,reputation,71,7.7,"Nov 10, 2017"
R.E.M.,Automatic for the People [25th Anniversary Deluxe Edition],96,7.9,"Nov 10, 2017"
Angel Olsen,Phases,79,7.6,"Nov 10, 2017"
Quicksand,Interiors,77,6.9,"Nov 10, 2017"
Peter Oren,Anthropocene,77,tbd,"Nov 10, 2017"
Spinning Coin,Permo,75,tbd,"Nov 10, 2017"
Luke Haines,Is Alive & Well & Living in Buenos Aires: Heavy Frenz the Solo Anthology 2001-2017,79,tbd,"Sep 29, 2017"
Hannah Peel,Mary Casio: Journey to Cassiopeia,82,tbd,"Sep 29, 2017"
Lucinda Williams,This Sweet Old World,86,tbd,"Sep 29, 2017"
Sleeping with Sirens,Gossip,74,6.2,"Sep 22, 2017"
The Horrors,V,87,8.1,"Sep 22, 2017"
The Clientele,Music for the Age of Miracles,80,7.4,"Sep 22, 2017"
METZ,Strange Peace,78,7.4,"Sep 22, 2017"
Hiss Golden Messenger,Hallelujah Anyhow,80,7.5,"Sep 22, 2017"
Yung Lean,Stranger,63,7.5,"Nov 10, 2017"
Call Super,Arpo,83,8.5,"Nov 10, 2017"
Escape-Ism,Introduction to Escape-Ism,52,tbd,"Nov 10, 2017"
Sumie,Lost in Light,63,tbd,"Nov 10, 2017"
Gregg Kowalsky,L'Orange L'Orange,77,tbd,"Nov 10, 2017"
Adrian Crowley,Dark Eyed Messenger,84,tbd,"Nov 10, 2017"
Evanescence,Synthesis,69,7.9,"Nov 10, 2017"
Metallica,Master of Puppets [Remastered & Expanded Edition],95,8.8,"Nov 10, 2017"
Timber Timbre,"Sincerely, Future Pollution",78,7.6,"Apr  7, 2017"
Phoebe Bridgers,Stranger in the Alps,82,7.5,"Sep 22, 2017"
Wolves in the Throne Room,Thrice Woven,76,7.4,"Sep 22, 2017"
The Killers,Wonderful Wonderful,71,7.8,"Sep 22, 2017"
Cut Copy,Haiku from Zero,62,6.2,"Sep 22, 2017"
Chelsea Wolfe,Hiss Spun,81,7.3,"Sep 22, 2017"
Wand,Plum,76,tbd,"Sep 22, 2017"
Godspeed You! Black Emperor,Luciferian Towers,76,7.6,"Sep 22, 2017"
Moses Sumney,Aromanticism,85,8.0,"Sep 22, 2017"
Tricky,ununiform,71,7.5,"Sep 22, 2017"
Cradle of Filth,Cryptoriana: The Seductiveness of Decay,77,7.7,"Sep 22, 2017"
Luna,A Sentimental Education,75,tbd,"Sep 22, 2017"
Bed Wettin' Bad Boys,Rot,76,tbd,"Nov 10, 2017"
Greta Van Fleet,From the Fires,64,7.9,"Nov 10, 2017"
Autobahn,The Moral Crossing,78,tbd,"Nov 10, 2017"
Langhorne Slim,"Lost at Last, Vol. 1",68,tbd,"Nov 10, 2017"
M.E.S.H.,Hesaitix,79,tbd,"Nov 10, 2017"
