feature,importance
single_count,0.05691539231387379
freq_billboard,0.01258494527823622
freq_genius,0.00979057018094465
freq_theSource,0.07728204467354513
freq_xxl,0.06261574998376898
twitter,0.08129397896060248
instagram,0.07457105478405698
facebook,0.046838815072654444
spotify,0.1792800515997394
soundcloud,0.19052660533779844
youtube,0.05062377418976828
genre_funk,0.0026851254753762228
genre_hiphop,0.028757348798952625
genre_pop,0.05511901989433915
genre_rnb,0.006736644747885756
genre_soul,0.0013047783393016986
rating,0.06307410036915569
