artist,album,freq_genius
2Cellos,2Cellos,0
Deep Dark Robot,8 Songs About a Girl,0
The Young Professionals,9am to 5pm 5pm to Whenever,0
Flash Bang Grenada,10 Haters,0
Her Majesty & the Wolves,111,0
Miss A,A Class,1
Ace Augustine,The Absolute,0
Adalita,Adalita,0
Lucy Ward,Adelphi Has to Fly,0
CocknBullKid,Adulthood,0
The Adults,The Adults,0
S.C.U.M,Again into Eyes,0
Aggro Santos,AggroSantos.com,0
Syven,Aikaintaite,0
Alexis Jordan,Alexis Jordan,0
7eventh Time Down,Alive in You,0
Verah Falls,All Our Yesterdays,0
Amanda Fondell,All This Way,0
The Sand Band,All Through the Night,0
Evan Brewer,Alone,0
Cir.Cuz,Alt I Sin Tid,0
AKA,Altar Ego,0
Amaranthe,Amaranthe,0
A Pale Horse Named Death,And Hell Will Follow Me,0
Andy Grammer,Andy Grammer,0
Animetal USA,Animetal USA,0
Anna Calvi,Anna Calvi,0
Mark Stoermer,Another Life,0
Anthem Lights,Anthem Lights,0
Antonionian,Antonionian,0
The Aristocrats,The Aristocrats,0
Avion Roe,The Art of Fiction,0
Kyla La Grange,Ashes,0
Astro,Astro,0
Howie Dorough,Back to Me,0
Shlohmo,Bad Vibes,0
Dirty Beaches,Badlands,0
Momoiro Clover Z,Battle and Romance,0
Glasses Malone,Beach Cruiser,0
Beastwars,Beastwars,0
Jai McDowall,Believe,0
The Belle Brigade,The Belle Brigade,0
We Are the In Crowd,Best Intentions,0
Get Scared,Best Kind of Mess,0
Pathfinder,Beyond the Space Beyond the Time,0
Kat & Roman Kostrzewski,Bialo-czarna,1
The Joy Formidable,The Big Roar,0
Big Talk,Big Talk,0
Birdy,Birdy,0
The Black Belles,The Black Belles,0
Shabazz Palaces,Black Up,0
Mac Miller,Blue Slide Park,0
Vintage Trouble,The Bomb Shelter Sessions,0
Anna Rossinelli,Bon Voyage,0
Rainbow Arabia,Boys and Diamonds,0
BiS,Brand-new idol Society,0
The Chapman Family,Burn Your Town,0
Tennis,Cape Dory,0
Cat's Eyes,Cat's Eyes,0
Sleeper Agent,Celabraison,0
Cerebral Ballzy,Cerebral Ballzy,0
Ford & Lopatin,Channel Pressure,731
Phonte,Charity Starts at Home,0
Chiaki Kuriyama,Circus,0
Scotty McCreery,Clear as Day,0
J. Cole,Cole World: The Sideline Story,0
Collectif Paris-Africa,Collectif Paris-Africa pour l'UNICEF,0
Yellowbirds,The Color,0
Miles Kane,Colour of the Trap,0
Ringo Deathstarr,Colour Trip,0
Casey Darnell,Coming Alive,0
Gideon,Costs,0
Craig Campbell,Craig Campbell,0
David Lynch,Crazy Clown Time,0
Still Corners,Creatures of an Hour,0
Young Legionnaire,Crisis Works,0
Cults,Cults,1
Young Rebel Set,Curse Our Love,0
Brite Futures,Dark Past,0
Girls Names,Dead to Me,0
Decoder,Decoder,0
Elisa's,Det har ar bara borjan,0
Mia Martina,Devotion,0
Beady Eye,Different Gear Still Speeding,0
Cities Aviv,Digital Lows,0
Rory Scovel,Dilation,0
Northlane,Discoveries,0
Hope for the Dying,Dissimulation,0
Pac Div,The DiV,0
Emily's Army,Don't Be a Dick,0
Great Cynics,Don't Need Much,0
Falling in Reverse,The Drug in Me Is You,0
Destroy Rebuild Until God Shows,D.R.U.G.S,0
B.G. Knocc Out,Eazy-E's Protege,0
AraabMuzik,Electronic Dream,0
The Birthday Suit,The Eleventh Hour,0
Eli Lieb,Eli Lieb,0
The Horrible Crowes,Elsie,0
Emika,Emika,0
Melanie Laurent,En t'attendant,0
Auryn,Endless Road 7058,0
Dreamers of the Ghetto,Enemy/Lover,0
Gazelle Twin,The Entire City,0
Seirom,Eremitic,0
Singing Adams,Everybody Friends Now,0
Pyrrhon,An Excellent Servant But a Terrible Master,0
Dulce Maria,Extranjera - Primera Parte,0
aTelecine,The Falcon and the Pod,0
Viva Brother,Famous First Words,0
Joe Jonas,Fastlife,0
Fatoumata Diawara,Fatou,0
Austra,Feel It Break,0
Big Sean,Finally Famous,0
Christina Grimmie,Find Me,0
Chris Crocker,The First Bite,0
The Plot in You,First Born,0
CNBLUE,First Step,0
Jay Rock,Follow Me Home,0
Jamala,For Every Heart,0
Torae,For the Record,0
Romeo Santos,Formula Vol. 1,0
Frankie Ballard,Frankie Ballard,0
Dom Kennedy,From the Westside with Love II,0
The DC3,The Future Sound of Nostalgia,0
Alyssa Reid,The Game,0
Bass Drum of Death,GB City,0
Low Cut Connie,Get Out the Lotion,0
Girls' Generation,Girls' Generation,0
Travis Barker,Give the Drummer Some,0
Rustie,Glass Swords,0
Saturnian Mist,Gnostikoi Ha-Shaitan,0
WU LYF,Go Tell Fire to the Mountain,0
DELS,GOB,0
Thundercat,The Golden Age of Apocalypse,0
Funeral Party,The Golden Age of Knowhere,0
Little Scream,The Golden Record,0
Tig Notaro,Good One,0
Graham Alexander,Graham Alexander,0
Saigon,The Greatest Story Never Told,0
Intergalactic Lovers,Greetings & Salutations,0
Dinosaur Pile-Up,Growing Pains,0
miwa,Guitarissimo,0
Fallujah,The Harvest Wombs,0
Skull Fist,Head of the Pack,0
I Break Horses,Hearts,0
Rebecca Ferguson,Heaven,0
The Unguided,Hell Frost,0
Pistol Annies,Hell on Heels,0
Total Control,Henge Beat,0
Greyson Chance,Hold On 'til the Night,0
Holy Ghost!,Holy Ghost!,0
Kassidy,Hope St.,0
I Am Giant,The Horrifying Truth,0
The Standstills,The Human Element,0
Frankie & The Heartstrings,Hunger,0
Erin,Hunningolla,0
Hunter Hayes,Hunter Hayes,0
Hurtsmile,Hurtsmile,0
Times of Grace,The Hymn of a Broken Man,0
Speak,I Believe In Everything,0
The City Harmonic,I Have a Dream (It Feels Like Home),0
The Middle East,I Want That You Are Always Happy,0
Basement,I Wish I Could Stay Here,0
Pete Holmes,Impregnated With Wonder,0
Erra,Impulse,0
Givers,In Light,0
Orjan Nilsen,In My Opinion,0
Symfonia,In Paradisum,0
Little Comets,In Search of Elusive Little Comets,0
Nader Sadek,In the Flesh,0
Clams Casino,Instrumentals,0
3Ball MTY,Intentalo,0
The Leisure Society,Into the Murky Water,0
Stala & so.,It Is So.,0
Pietro Lombardi,Jackpot,0
the JaneDear girls,the JaneDear girls,0
Jonny,Jonny,0
I Fight Dragons,KABOOM!,0
Katie Waissel,Katie Waissel,0
Cali Swag District,The Kickback,0
Nicole Scherzinger,Killer Love,0
