artist,album,freq_xxl
2Cellos,2Cellos,0
Deep Dark Robot,8 Songs About a Girl,14
The Young Professionals,9am to 5pm 5pm to Whenever,0
Flash Bang Grenada,10 Haters,0
Her Majesty & the Wolves,111,5423
Miss A,A Class,1638
Ace Augustine,The Absolute,2
Adalita,Adalita,0
Lucy Ward,Adelphi Has to Fly,0
CocknBullKid,Adulthood,13
The Adults,The Adults,81
S.C.U.M,Again into Eyes,50
Aggro Santos,AggroSantos.com,0
Syven,Aikaintaite,0
Alexis Jordan,Alexis Jordan,0
7eventh Time Down,Alive in You,2133
Verah Falls,All Our Yesterdays,0
Amanda Fondell,All This Way,2
The Sand Band,All Through the Night,724
Evan Brewer,Alone,4
Cir.Cuz,Alt I Sin Tid,0
AKA,Altar Ego,2
Amaranthe,Amaranthe,0
A Pale Horse Named Death,And Hell Will Follow Me,1
Andy Grammer,Andy Grammer,0
Animetal USA,Animetal USA,0
Anna Calvi,Anna Calvi,0
Mark Stoermer,Another Life,58
Anthem Lights,Anthem Lights,13
Antonionian,Antonionian,0
The Aristocrats,The Aristocrats,1
Avion Roe,The Art of Fiction,6
Kyla La Grange,Ashes,0
Astro,Astro,13
Howie Dorough,Back to Me,0
Shlohmo,Bad Vibes,67
Dirty Beaches,Badlands,0
Momoiro Clover Z,Battle and Romance,0
Glasses Malone,Beach Cruiser,4
Beastwars,Beastwars,0
Jai McDowall,Believe,1
The Belle Brigade,The Belle Brigade,42
We Are the In Crowd,Best Intentions,1940
Get Scared,Best Kind of Mess,400
Pathfinder,Beyond the Space Beyond the Time,258
Kat & Roman Kostrzewski,Bialo-czarna,37
The Joy Formidable,The Big Roar,70
Big Talk,Big Talk,658
Birdy,Birdy,4
The Black Belles,The Black Belles,5041
Shabazz Palaces,Black Up,7
Mac Miller,Blue Slide Park,5
Vintage Trouble,The Bomb Shelter Sessions,1
Anna Rossinelli,Bon Voyage,0
Rainbow Arabia,Boys and Diamonds,0
BiS,Brand-new idol Society,0
The Chapman Family,Burn Your Town,53
Tennis,Cape Dory,0
Cat's Eyes,Cat's Eyes,0
Sleeper Agent,Celabraison,0
Cerebral Ballzy,Cerebral Ballzy,0
Ford & Lopatin,Channel Pressure,79
Phonte,Charity Starts at Home,4
Chiaki Kuriyama,Circus,0
Scotty McCreery,Clear as Day,0
J. Cole,Cole World: The Sideline Story,262
Collectif Paris-Africa,Collectif Paris-Africa pour l'UNICEF,0
Yellowbirds,The Color,561
Miles Kane,Colour of the Trap,21
Ringo Deathstarr,Colour Trip,0
Casey Darnell,Coming Alive,1
Gideon,Costs,96
Craig Campbell,Craig Campbell,0
David Lynch,Crazy Clown Time,0
Still Corners,Creatures of an Hour,124
Young Legionnaire,Crisis Works,4
Cults,Cults,2
Young Rebel Set,Curse Our Love,73
Brite Futures,Dark Past,0
Girls Names,Dead to Me,60
Decoder,Decoder,0
Elisa's,Det har ar bara borjan,0
Mia Martina,Devotion,0
Beady Eye,Different Gear Still Speeding,0
Cities Aviv,Digital Lows,0
Rory Scovel,Dilation,0
Northlane,Discoveries,3
Hope for the Dying,Dissimulation,10
Pac Div,The DiV,11
Emily's Army,Don't Be a Dick,93
Great Cynics,Don't Need Much,86
Falling in Reverse,The Drug in Me Is You,339
Destroy Rebuild Until God Shows,D.R.U.G.S,2
B.G. Knocc Out,Eazy-E's Protege,0
AraabMuzik,Electronic Dream,4
The Birthday Suit,The Eleventh Hour,35
Eli Lieb,Eli Lieb,0
The Horrible Crowes,Elsie,0
Emika,Emika,0
Melanie Laurent,En t'attendant,0
Auryn,Endless Road 7058,0
Dreamers of the Ghetto,Enemy/Lover,6
Gazelle Twin,The Entire City,3
Seirom,Eremitic,0
Singing Adams,Everybody Friends Now,23
Pyrrhon,An Excellent Servant But a Terrible Master,0
Dulce Maria,Extranjera - Primera Parte,0
aTelecine,The Falcon and the Pod,22
Viva Brother,Famous First Words,8
Joe Jonas,Fastlife,2
Fatoumata Diawara,Fatou,0
Austra,Feel It Break,312
Big Sean,Finally Famous,154
Christina Grimmie,Find Me,1
Chris Crocker,The First Bite,4
The Plot in You,First Born,6441
CNBLUE,First Step,396
Jay Rock,Follow Me Home,86
Jamala,For Every Heart,174
Torae,For the Record,5112
Romeo Santos,Formula Vol. 1,0
Frankie Ballard,Frankie Ballard,0
Dom Kennedy,From the Westside with Love II,28
The DC3,The Future Sound of Nostalgia,433
Alyssa Reid,The Game,32
Bass Drum of Death,GB City,11
Low Cut Connie,Get Out the Lotion,34
Girls' Generation,Girls' Generation,21
Travis Barker,Give the Drummer Some,82
Rustie,Glass Swords,2
Saturnian Mist,Gnostikoi Ha-Shaitan,0
WU LYF,Go Tell Fire to the Mountain,5
DELS,GOB,0
Thundercat,The Golden Age of Apocalypse,95
Funeral Party,The Golden Age of Knowhere,12
Little Scream,The Golden Record,32
Tig Notaro,Good One,0
Graham Alexander,Graham Alexander,3
Saigon,The Greatest Story Never Told,286
Intergalactic Lovers,Greetings & Salutations,0
Dinosaur Pile-Up,Growing Pains,0
miwa,Guitarissimo,0
Fallujah,The Harvest Wombs,0
Skull Fist,Head of the Pack,102
I Break Horses,Hearts,13
Rebecca Ferguson,Heaven,1
The Unguided,Hell Frost,2
Pistol Annies,Hell on Heels,0
Total Control,Henge Beat,6
Greyson Chance,Hold On 'til the Night,38
Holy Ghost!,Holy Ghost!,26
Kassidy,Hope St.,23
I Am Giant,The Horrifying Truth,108
The Standstills,The Human Element,6
Frankie & The Heartstrings,Hunger,33
Erin,Hunningolla,7
Hunter Hayes,Hunter Hayes,0
Hurtsmile,Hurtsmile,0
Times of Grace,The Hymn of a Broken Man,20
Speak,I Believe In Everything,415
The City Harmonic,I Have a Dream (It Feels Like Home),358
The Middle East,I Want That You Are Always Happy,228
Basement,I Wish I Could Stay Here,173
Pete Holmes,Impregnated With Wonder,0
Erra,Impulse,15
Givers,In Light,1295
Orjan Nilsen,In My Opinion,0
Symfonia,In Paradisum,0
Little Comets,In Search of Elusive Little Comets,1
Nader Sadek,In the Flesh,0
Clams Casino,Instrumentals,29
3Ball MTY,Intentalo,0
The Leisure Society,Into the Murky Water,9
Stala & so.,It Is So.,0
Pietro Lombardi,Jackpot,0
the JaneDear girls,the JaneDear girls,761
Jonny,Jonny,24
I Fight Dragons,KABOOM!,4
Katie Waissel,Katie Waissel,0
Cali Swag District,The Kickback,5
Nicole Scherzinger,Killer Love,3
I Am Empire,Kings,34
