artist,album,genre,single_count
2Cellos,2Cellos,"Cello rock, classical crossover",3
Deep Dark Robot,8 Songs About a Girl,"Post-grunge, punk blues",0
The Young Professionals,"9am to 5pm, 5pm to Whenever
(09:00 to 17:00, 17:00 to Whenever)",Electronic,0
Flash Bang Grenada,10 Haters,Alternative hip hop,0
Her Majesty & the Wolves,111,"Dance, pop",3
Miss A,A Class,"Dance-pop, K-Pop, Pop, Korean",4
Ace Augustine,The Absolute,"Metalcore, Christian hardcore",0
Adalita,Adalita,Alternative rock,3
Lucy Ward,Adelphi Has to Fly,"Folk music, Singer-songwriter",0
CocknBullKid,Adulthood,"Pop, indie pop, synthpop",4
The Adults,The Adults,"rock, pop, electronica",0
S.C.U.M,Again into Eyes,"Art rock, Post punk revival, Shoegaze",3
Aggro Santos,AggroSantos.com,"Hip hop, dance",3
Syven,Aikaintaite,"Ambient, neofolk, metal, Finnish",0
Alexis Jordan,Alexis Jordan,"Dance-pop, pop, R&B",3
7eventh Time Down,Alive in You,"Hard rock, heavy metal, worship metal, post-grunge, punk rock, alternative metal",2
Verah Falls,All Our Yesterdays,"Post-hardcore, Melodic Hardcore",0
Amanda Fondell,All This Way,Pop,1
The Sand Band,All Through the Night,Folk music,0
Evan Brewer,Alone,Progressive metal,0
Cir.Cuz,Alt I Sin Tid,Pop,0
AKA,Altar Ego,"Hip hop, Rap, English, Setswana, isiZulu",4
Amaranthe,Amaranthe,"Power metal, metalcore",4
A Pale Horse Named Death,And Hell Will Follow Me,"Gothic metal, doom metal",0
Andy Grammer,Andy Grammer,"Pop rock, blue-eyed soul",3
Animetal USA,Animetal USA,"Heavy metal, anison",0
Anna Calvi,Anna Calvi,Art rock,3
Mark Stoermer,Another Life,"Alternative rock, alternative country, psychedelic rock, synthpop",0
Anthem Lights,Anthem Lights,Christian pop,0
Antonionian,Antonionian,Indie rock,0
The Aristocrats,The Aristocrats,Progressive rock,0
Avion Roe,The Art of Fiction,"Emo, Post-hardcore, pop rock",2
Kyla La Grange,Ashes,Indie,0
Astro,Astro,"Indie pop, neo-psychedelia, indietronica",0
Howie Dorough,Back to Me,Pop,3
Shlohmo,Bad Vibes,"Electronic, instrumental hip hop",0
Dirty Beaches,Badlands,"Indie rock, art rock, experimental pop, No Wave, surf rock, rockabilly, psychobilly, lo-fi",0
Momoiro Clover Z,Battle and Romance,"J-pop, pop",5
Glasses Malone,Beach Cruiser,"Gangsta rap, West Coast hip hop",4
Beastwars,Beastwars,"Sludge metal, stoner metal",0
Jai McDowall,Believe,classical crossover,0
The Belle Brigade,The Belle Brigade,Rock,2
We Are the In Crowd,Best Intentions,"Pop rock, alternative rock, pop punk",4
Get Scared,Best Kind of Mess,"Alternative rock, gothic rock, post-hardcore",3
Pathfinder,"Beyond the Space, Beyond the Time","Power metal, symphonic metal, heavy metal",0
Kat & Roman Kostrzewski,BiaÅ‚o-czarna,"Thrash metal, Polish",0
The Joy Formidable,The Big Roar,"Alternative rock, indie rock, shoegazing, dream pop",6
Big Talk,Big Talk,Indie rock,3
Birdy,Birdy,"Folk, indie folk, indie pop, indie rock",4
The Black Belles,The Black Belles,Garage rock,2
Shabazz Palaces,Black Up,Experimental hip hop,0
Mac Miller,Blue Slide Park,Hip hop,4
Vintage Trouble,The Bomb Shelter Sessions,"Rhythm and blues, soul, blues, rock and roll",3
Anna Rossinelli,Bon Voyage,Pop,2
Rainbow Arabia,Boys and Diamonds,"Electronic music, electropop",0
BiS,Brand-new idol Society,"J-pop, pop rock, pop punk, Japanese",2
The Chapman Family,Burn Your Town,"Post-punk, Indie rock",4
Tennis,Cape Dory,"Indie pop, surf pop",0
Cat's Eyes,Cat's Eyes,"Alternative rock, experimental rock, English",2
Sleeper Agent,Celabraison,Alternative rock,2
Cerebral Ballzy,Cerebral Ballzy,Hardcore punk,3
Ford & Lopatin,Channel Pressure,"Synth-funk, experimental, electronic, synthpop",2
Phonte,Charity Starts at Home,"Hip hop, R&B",0
Chiaki Kuriyama,Circus,"Rock, pop, Japanese, English",19
Scotty McCreery,Clear as Day,Country,3
J. Cole,Cole World: The Sideline Story,"Hip hop, conscious hip hop",3
Collectif Paris-Africa,Collectif Paris-Africa pour l'UNICEF,French pop,1
Yellowbirds,The Color,Rock,0
Miles Kane,Colour of the Trap,"Indie rock, alternative rock",3
