label,artist,album,genre,single_count,freq_billboard,freq_genius,freq_theSource,freq_xxl,rating_AOTY,rating_meta,rating_pitch,twitter,instagram,facebook,spotify,soundcloud,youtube
0,Flash Bang Grenada,10 Haters,hiphop,0,0,0,0,0,,,,0,0,0,346,0,0
0,Aggro Santos,AggroSantos.com,hiphop,3,0,0,0,0,,,,63771,27415,596562,4675,585,7975
0,AKA,Altar Ego,hiphop,4,0,0,1,2,,,,38958,0,0,22298,0,3643764
0,Shlohmo,Bad Vibes,hiphop,0,0,0,0,67,,,7.8,91790,59340,209063,141268,283539,0
0,Glasses Malone,Beach Cruiser,hiphop,4,0,0,0,4,,,,68417,48745,93741,16402,0,0
1,Shabazz Palaces,Black Up,hiphop,0,0,0,2,7,,83,8.8,8300,0,43263,62059,5127,0
1,Mac Miller,Blue Slide Park,hiphop,4,0,0,17,5,,58,1,8855106,3496926,5150905,2195232,403301,1361942
0,Phonte,Charity Starts at Home,hiphop,0,0,0,3,4,,89,,131790,0,50634,29514,1,0
1,J. Cole,Cole World: The Sideline Story,hiphop,3,1,0,9,262,,75,6.1,10754376,3023760,5436487,4992271,1959171,2309374
0,Cities Aviv,Digital Lows,hiphop,0,0,0,0,0,,,7.5,6742,3172,11797,7127,7120,0
1,Pac Div,The DiV,hiphop,0,0,0,200,11,,,,22145,5673,54102,30476,17211,0
0,B.G. Knocc Out,Eazy-E's Protege,hiphop,1,0,0,0,0,,,,20347,0,33366,4474,551,0
1,AraabMuzik,Electronic Dream,hiphop,0,0,0,0,4,,80,8.2,102133,180603,171484,45660,134450,22292
0,Emika,Emika,hiphop,5,0,0,1,0,,78,7.4,5593,0,46274,23494,20722,10229
1,Big Sean,Finally Famous,hiphop,3,4,0,31,154,,69,6.1,14882725,10154422,6996975,3928708,9501002,2859462
1,Jay Rock,Follow Me Home,hiphop,2,3,0,61,86,,73,,579041,316614,440429,251787,6311,0
1,Torae,For the Record,hiphop,2,0,0,12,5112,,,,46742,43118,29421,8556,3621,6474
0,Dom Kennedy,From the Westside with Love II,hiphop,0,0,0,3,28,,,,431742,345196,198970,176886,91896,77999
0,DELS,GOB,hiphop,4,0,0,1,0,,,,4658,0,581,3922,0,2202
0,Saigon,The Greatest Story Never Told,hiphop,4,0,0,5,286,,89,,59061,0,34752,20007,0,0
1,Clams Casino,Instrumentals,hiphop,0,0,0,1,29,,,,78572,30016,124734,91189,149011,28002
0,Cali Swag District,The Kickback,hiphop,3,0,0,0,5,,67,,75540,986,0,58036,0,8818
1,Ab-Soul,Longterm Mentality,hiphop,0,0,0,1,10,,,,1023418,516523,512839,381059,1460700,0
0,Mann,Mann's World,hiphop,3,0,0,4,15,,,,351791,0,27229,17864,0,0
0,David Carreira,n. 1 (N‰Ûª‰Û÷‰Ûªå¢‰ÛªÌàÌ__ 1),hiphop,1,0,0,0,7,,,,253346,469998,1016706,49699,0,212844
0,Mindless Behavior,#1 Girl,hiphop,4,1,0,10,222,,,,568,57630,86,145679,0,643505
1,The Internet,Purple Naked Ladies,hiphop,4,0,0,6,2,,55,6,285338,0,207242,393164,177025,643473
1,Yelawolf,Radioactive,hiphop,2,0,0,10,67,,62,6.5,558423,744953,2155380,706509,25072,981924
1,Smoke DZA,Rolling Stoned,hiphop,0,0,0,1,5,,,,157222,147326,207900,78987,55449,8104
0,Mr. Envi',Rydaz Redemption,hiphop,0,0,0,0,0,,,,0,0,0,387,0,0
1,Kendrick Lamar,Section.80,hiphop,1,1,0,10,49,,80,8,10641307,9521393,8853463,8713483,410014,5924221
1,ScHoolboy Q,Setbacks,hiphop,0,0,0,8,511,,,,2439450,1981289,2423217,1720232,272671,1077545
0,X-Pistols,Shoot To Kill,hiphop,0,0,0,0,9,,,,0,0,0,0,0,0
0,Rizzle Kicks,Stereo Typical,hiphop,24,0,0,0,0,,70,,1376688,221526,1059478,248740,278118,180922
0,Cher Lloyd,Sticks and Stones,hiphop,4,0,0,0,0,,,,7650000,2147329,7098067,1354395,57314,2837257
0,Fly Union,TGTC (The Greater Than Club),hiphop,4,0,0,0,2,,,,11409,0,0,7266,5943,10072
1,Theophilus London,Timez Are Weird These Days,hiphop,1,0,0,1,9,,61,,123953,186265,140104,78812,10299,19519
1,Snow Tha Product,Unorthodox,hiphop,0,0,0,2,33,,,,146765,709499,2576001,132438,74697,485609
0,Max B,Vigilante Season,hiphop,0,0,0,1,16,,,7.7,72931,0,0,57176,0,760
1,Verbal,Visionair,hiphop,3,0,0,0,85,,,,0,0,0,425,0,0
0,SNO (Lil Wyte JellyRoll BPZ),Year Round,hiphop,4,0,0,0,0,,,,0,0,0,0,0,0
0,Koncept,Awaken,hiphop,0,0,0,0,52,,,,16241,24617,4802,1106,2074,1899
0,THEESatisfaction,awE naturalE,hiphop,0,0,0,0,0,,75,7.5,7244,4845,4119,12432,5093,0
0,Cover Drive,Bajan Style,hiphop,4,0,0,0,5,,,,114815,19025,154150,61563,0,32240
1,2 Chainz,Based on a T.R.U. Story,hiphop,3,0,1,30,195,,55,4.5,4213051,4566472,6145306,2647895,187250,2640612
0,DeStorm Power hosted by DJ Whoo Kid,Be Careful,hiphop,5,0,0,0,3,,,,313279,4369687,3824798,19513,29053,555342
0,Gary Clark Jr.,Blak and Blu,hiphop,2,0,0,4,16,,74,,113379,231253,424011,394820,886877,140031
0,Main Attrakionz,Bossalinis & Fooliyones,hiphop,0,0,0,0,1,,71,7.1,330,0,9854,5462,2959,0
1,Chiddy Bang,Breakfast,hiphop,2,0,0,8,11,,67,,69827,0,627240,311450,15272,34257
0,The Gaslamp Killer,Breakthrough,hiphop,0,0,0,0,9,,66,7.7,60918,57347,114801,51921,35613,0
0,Kalenna Harper,Chamber of Diaries,hiphop,3,0,0,0,0,,,,57916,429841,46869,4503,3965,0
1,Meek Mill,Dreams and Nightmares,hiphop,4,2,0,56,175,,69,7.4,6903420,12863795,6501171,1737368,329321,2250496
0,Toya Delazy,Due Drop,hiphop,5,0,0,0,0,,,,133529,0,459722,1012,0,0
0,Labrinth,Electronic Earth,hiphop,6,0,0,0,0,,55,,1036043,222993,987025,570448,94603,770629
0,The Hood Internet,FEAT,hiphop,0,0,0,49,173,,,3,16525,0,38121,10128,103158,17604
0,Tulisa,The Female Boss,hiphop,3,0,0,0,31,,35,,3523457,487509,726932,79985,0,0
1,Chief Keef,Finally Rich,hiphop,3,0,0,13,96,,62,7.5,1246905,4559375,0,1041191,287881,169815
0,Travis Porter,From Day 1,hiphop,4,0,0,33,54,,,,488836,65293,2289344,399375,6914,230794
0,Delilah,From the Roots Up,hiphop,5,0,0,0,302,,,,0,611643,1622303,40083,0,55998
0,Rye Rye,Go! Pop! Bang!,hiphop,3,0,0,0,0,,70,7,39555,0,96532,20276,0,1765
0,Loreen,Heal,hiphop,5,0,0,0,56,,,,18608,24415,594030,157607,0,50578
1,Macklemore & Ryan Lewis,The Heist,hiphop,5,1,6,200,182,,,,2763553,4239705,6339971,2088782,2674976,6108595
0,Hiphop Tamizha,Hip Hop Tamizhan,hiphop,0,0,0,0,0,,,,655941,1491212,2794530,13756,0,641349
1,Rapsody,The Idea of Beautiful,hiphop,0,0,0,1,71,,,,37,151194,88576,57098,8503,35992
0,JJ Doom,Key to the Kuffs,hiphop,0,0,0,0,10,,,,6111,0,0,26041,0,255
