artist,album,genre,single_count
Flash Bang Grenada,10 Haters,hiphop,0
Aggro Santos,AggroSantos.com,hiphop,3
AKA,Altar Ego,hiphop,4
Shlohmo,Bad Vibes,hiphop,0
Glasses Malone,Beach Cruiser,hiphop,4
Shabazz Palaces,Black Up,hiphop,0
Mac Miller,Blue Slide Park,hiphop,4
Phonte,Charity Starts at Home,hiphop,0
J. Cole,Cole World: The Sideline Story,hiphop,3
Cities Aviv,Digital Lows,hiphop,0
Pac Div,The DiV,hiphop,0
B.G. Knocc Out,Eazy-E's Protege,hiphop,1
AraabMuzik,Electronic Dream,hiphop,0
Emika,Emika,hiphop,5
Big Sean,Finally Famous,hiphop,3
Jay Rock,Follow Me Home,hiphop,2
Torae,For the Record,hiphop,2
Dom Kennedy,From the Westside with Love II,hiphop,0
DELS,GOB,hiphop,4
Saigon,The Greatest Story Never Told,hiphop,4
Clams Casino,Instrumentals,hiphop,0
Cali Swag District,The Kickback,hiphop,3
Ab-Soul,Longterm Mentality,hiphop,0
Mann,Mann's World,hiphop,3
Mindless Behavior,#1 Girl,hiphop,4
The Internet,Purple Naked Ladies,hiphop,4
Yelawolf,Radioactive,hiphop,2
Smoke DZA,Rolling Stoned,hiphop,0
Mr. Envi',Rydaz Redemption,hiphop,0
Kendrick Lamar,Section.80,hiphop,1
ScHoolboy Q,Setbacks,hiphop,0
X-Pistols,Shoot To Kill,hiphop,0
Rizzle Kicks,Stereo Typical,hiphop,24
Cher Lloyd,Sticks and Stones,hiphop,4
Fly Union,TGTC (The Greater Than Club),hiphop,4
Theophilus London,Timez Are Weird These Days,hiphop,1
Snow Tha Product,Unorthodox,hiphop,0
Max B,Vigilante Season,hiphop,0
Verbal,Visionair,hiphop,3
SNO (Lil Wyte JellyRoll BPZ),Year Round,hiphop,4
Koncept,Awaken,hiphop,0
THEESatisfaction,awE naturalE,hiphop,0
Cover Drive,Bajan Style,hiphop,4
2 Chainz,Based on a T.R.U. Story,hiphop,3
DeStorm Power hosted by DJ Whoo Kid,Be Careful,hiphop,5
Gary Clark Jr.,Blak and Blu,hiphop,2
Main Attrakionz,Bossalinis & Fooliyones,hiphop,0
Chiddy Bang,Breakfast,hiphop,2
The Gaslamp Killer,Breakthrough,hiphop,0
Kalenna Harper,Chamber of Diaries,hiphop,3
Meek Mill,Dreams and Nightmares,hiphop,4
Toya Delazy,Due Drop,hiphop,5
Labrinth,Electronic Earth,hiphop,6
The Hood Internet,FEAT,hiphop,0
Tulisa,The Female Boss,hiphop,3
Chief Keef,Finally Rich,hiphop,3
Travis Porter,From Day 1,hiphop,4
Delilah,From the Roots Up,hiphop,5
Rye Rye,Go! Pop! Bang!,hiphop,3
Loreen,Heal,hiphop,5
Macklemore & Ryan Lewis,The Heist,hiphop,5
Hiphop Tamizha,Hip Hop Tamizhan,hiphop,0
Rapsody,The Idea of Beautiful,hiphop,0
JJ Doom,Key to the Kuffs,hiphop,0
Machine Gun Kelly,Lace Up,hiphop,3
Big K.R.I.T.,Live from the Underground,hiphop,4
Envy,The Magic Soup and the Bittersweet Faces,hiphop,1
Riz MC,Microscope,hiphop,1
Lil Ugly Mane,Mista Thug Isolation,hiphop,0
Froggy Fresh,Money Maker (Reloaded),hiphop,0
Death Grips,The Money Store,hiphop,1
Davido,Omo Baba Olowo,hiphop,7
Kool A.D.,The Palm Wine Drinkard,hiphop,0
Future,Pluto,hiphop,5
JK Flesh,Posthuman,hiphop,0
Jeremiah Jae,Raw Money Raps,hiphop,1
Beautiful Eulogy,Satellite Kite,hiphop,0
Kreayshawn,Somethin' 'Bout Kreay,hiphop,3
Dan Le Sac,Space Between the Words,hiphop,3
The Original Rudeboys,This Life,hiphop,4
Diggy Simmons,Unexpected Arrival,hiphop,5
Kid Ink,Up & Away,hiphop,6
Swoope,Wake Up,hiphop,0
Terrace Martin,3ChordFold,hiphop,1
King Krule,6 Feet Beneath the Moon,hiphop,0
Def Dee,33 and a Third,hiphop,0
Durag Dynasty,360 Waves,hiphop,0
Crooked I,Apex Predator,hiphop,1
Alex Faith,ATLast,hiphop,0
Bo Bruce,Before I Sleep,hiphop,3
Feed Me,Calamari Tuesday,hiphop,2
Capital Kings,Capital Kings,hiphop,2
Angel Haze,Dirty Gold,hiphop,2
Earl Sweatshirt,Doris,hiphop,3
Friendzone,DX,hiphop,0
Freddie Gibbs,ESGN,hiphop,1
French Montana,Excuse My French,hiphop,3
HBK Gang,Gang Forever,hiphop,0
Dre Murray,Gold Rush: Maybe One Day,hiphop,0
No Malice,Hear Ye Him,hiphop,0
The Uncluded,Hokey Fright,hiphop,0
Naughty Boy,Hotel Cabana,hiphop,5
Letherette,Letherette,hiphop,0
Rittz,The Life and Times of Jonny Valiant,hiphop,1
Lizzo,Lizzobangers,hiphop,0
Stooshe,London with the Lights On,hiphop,32
ASAP Rocky,Long. Live. ASAP,hiphop,4
MellowHigh,MellowHigh,hiphop,2
Boldy James,My 1st Chemistry Set,hiphop,2
Jarren Benton,My Grandma's Basement,hiphop,1
Pusha T,My Name Is My Name,hiphop,5
Papoose,The Nacirema Dream,hiphop,3
Troy Ave,New York City: The Album,hiphop,0
Denzel Curry,Nostalgic 64,hiphop,0
Jenni Pulos,Old School Kids Beats,hiphop,0
Casseurs Flowters,Orelsan et Gringe sont les Casseurs Flowters,hiphop,1
Mike Stud,Relief,hiphop,0
Wallpaper.,Ricky Reed Is Real,hiphop,2
Shehyee,Shehyee,hiphop,0
Starbomb,Starbomb,hiphop,21
Yancey Boys,Sunset Blvd.,hiphop,1
ASAP Ferg,Trap Lord,hiphop,3
Mr Probz,The Treatment,hiphop,3
Jon Connor,Unconscious State,hiphop,0
How to Destroy Angels,Welcome oblivion,hiphop,1
W.L.A.K.,W.L.A.K.,hiphop,0
DJ Mustard,10 Summers,hiphop,1
Eduardo,A Fantastica Fabrica de Cadaver,hiphop,0
Joke,Ateyaba,hiphop,7
Sir Michael Rocks,Banco,hiphop,1
The Underachievers,Cellar Door: Terminus ut Exordium,hiphop,0
Chris Webby,Chemically Imbalanced,hiphop,5
Clipping,CLPPNG,hiphop,0
Chuck Inglish,Convertibles,hiphop,3
Cozz,Cozz & Effect,hiphop,4
Young Fathers,Dead,hiphop,0
Charisma.com,Distopping,hiphop,3
Broods,Evergreen,hiphop,3
Kate Tempest,Everybody Down,hiphop,0
Damon Albarn,Everyday Robots,hiphop,5
TV Girl,French Exit,hiphop,1
Banks,Goddess,hiphop,4
Got a Girl,I Love You but I Must Drive Off This Cliff Now,hiphop,2
Bas,Last Winter,hiphop,0
Cash Out,Let's Get It,hiphop,3
K.Flay,Life As A Dog,hiphop,0
Gesu no Kiwami Otome,Miryoku ga Sugoi yo,hiphop,3
MKTO,MKTO,hiphop,5
Kevin Abstract,MTV1987,hiphop,2
YG,My Krazy Life,hiphop,4
Iggy Azalea,The New Classic,hiphop,5
Tiny Doo,No Safety,hiphop,0
Stalley,Ohio,hiphop,3
PE 2.0,People Get Ready,hiphop,0
Ghetts,Rebel With a Cause,hiphop,4
Sage the Gemini,Remember Me,hiphop,5
Shtar Academy,Shtar Academy,hiphop,1
Iamsu!,Sincerely Yours,hiphop,2
Sisyphus,Sisyphus,hiphop,1
Ratking,So It Goes,hiphop,4
Manny Phesto,Southside Looking In,hiphop,0
August Alsina,Testimony,hiphop,6
Cassper Nyovest,Tsholofelo,hiphop,3
Logic,Under Pressure,hiphop,2
DJ DX,The Unfortunate Child,hiphop,0
Yung Lean,Unknown Memory,hiphop,0
Anderson .Paak,Venice,hiphop,2
Teyana Taylor,VII,hiphop,3
BTS,Wake Up,hiphop,3
Awkwafina,Yellow Ranger,hiphop,0
Fifi Cooper,20FIFI,hiphop,0
Raury,All We Need,hiphop,0
Boots,Aquaria,hiphop,0
Joey Badass,B4.Da.$$,hiphop,8
Kriswontwo,Ceremoni,hiphop,0
