artist,album,release_date,ratings
The National,Boxer (Live in Brussels),21/04/2018,6
Smokepurpp,Bless Yo Trap ,21/04/2018,4.8
Shuggie Otis,Inter-Fusion ,21/04/2018,4.6
Post Animal,When I Think of You in a Castle,21/04/2018,6.9
John Maus,Addendum ,20/04/2018,7.4
Alexis Taylor,Beautiful Thing ,20/04/2018,6.8
International Harvester,Remains,20/04/2018,8.4
"nothing,nowhere.",ruiner,20/04/2018,5.6
Various Artist,BC35: The 35 Year Anniversary of BC Studio,20/04/2018,7.3
Tinashe,Joyride ,19/04/2018,6.8
Robert Glasper,The ArtScience Remixes EP,19/04/2018,6.7
Littlebabyangel,Gada,19/04/2018,7.3
Lena Willikens,Selectors 005,19/04/2018,7.8
Mouse on Mars,Dimensional People,18/04/2018,7.6
Princess Nokia,A Girl Cried Red,18/04/2018,5.9
Ross From Friends,Aphelion EP,18/04/2018,7.1
Daniel Avery,Song for Alpha,18/04/2018,6.7
Neil Young,Roxy: Tonight's the Night Live ,17/04/2018,8.3
War On Women,Capture the Flag,17/04/2018,7.6
Sarah Davachi,Let Night Come On Bells End the Day,17/04/2018,7.5
GUM,The Underdog,17/04/2018,7.2
Mr. Fingers,Cerebral Hemispheres,16/04/2018,7.4
King Tuff,The Other,16/04/2018,6.5
u-Ziq,Challenge Me Foolish,16/04/2018,5.8
Florentino ,Fragmentos EP,16/04/2018,7.3
Eminem,The Marshall Mathers LP,15/04/2018,9.4
Various Artist,Johnny Cash: Forever Words,14/04/2018,7
Anna & Elizabeth,The Invisible Comes to Us,14/04/2018,7.2
Kwes,Songs for Midi EP,14/04/2018,7.5
E-40,Connected and Respected,14/04/2018,6.7
John Prine,Tree of Forgiveness,13/04/2018,7.6
A Place to Bury Strangers,Pinned ,13/04/2018,5.3
Various Artist,Universal Love: Wedding Songs Reimagined EP,13/04/2018,6.4
Francoise Hardy,Personne d'autre,13/04/2018,6.5
Eels,The Deconstruction,13/04/2018,3
Saba,CARE FOR ME,12/04/2018,8.7
Cavalier,Private Stock,12/04/2018,7.5
Husalah,H ,12/04/2018,7.2
Say Sue Me ,Where We Were Together,12/04/2018,6.8
Kali Uchis,Isolation,11/04/2018,8.6
Lil Xan,Total Xanarchy ,11/04/2018,4.7
Mind Over Mirrors,Bellowing Sun,11/04/2018,8
Tom Misch,Geography,11/04/2018,6.5
