index,artists,albums,release_date,ratings
0,The National,Boxer (Live in Brussels),21/04/2018,6
1,Smokepurpp,Bless Yo Trap ,21/04/2018,4.8
2,Shuggie Otis,Inter-Fusion ,21/04/2018,4.6
3,Post Animal,When I Think of You in a Castle,21/04/2018,6.9
4,John Maus,Addendum ,20/04/2018,7.4
5,Alexis Taylor,Beautiful Thing ,20/04/2018,6.8
6,International Harvester,Remains,20/04/2018,8.4
7,"nothing,nowhere.",ruiner,20/04/2018,5.6
8,Various Artist,BC35: The 35 Year Anniversary of BC Studio,20/04/2018,7.3
9,Tinashe,Joyride ,19/04/2018,6.8
10,Robert Glasper,The ArtScience Remixes EP,19/04/2018,6.7
11,Littlebabyangel,Gada,19/04/2018,7.3
12,Lena Willikens,Selectors 005,19/04/2018,7.8
13,Mouse on Mars,Dimensional People,18/04/2018,7.6
14,Princess Nokia,A Girl Cried Red,18/04/2018,5.9
15,Ross From Friends,Aphelion EP,18/04/2018,7.1
16,Daniel Avery,Song for Alpha,18/04/2018,6.7
17,Neil Young,Roxy: Tonight‰Ûªs the Night Live ,17/04/2018,8.3
18,War On Women,Capture the Flag,17/04/2018,7.6
19,Sarah Davachi,Let Night Come On Bells End the Day,17/04/2018,7.5
20,GUM,The Underdog,17/04/2018,7.2
21,Mr. Fingers,Cerebral Hemispheres,16/04/2018,7.4
22,King Tuff,The Other,16/04/2018,6.5
23,åµ-Ziq,Challenge Me Foolish,16/04/2018,5.8
24,Florentino ,Fragmentos EP,16/04/2018,7.3
25,Eminem,The Marshall Mathers LP,15/04/2018,9.4
26,Various Artist,Johnny Cash: Forever Words,14/04/2018,7
27,Anna & Elizabeth,The Invisible Comes to Us,14/04/2018,7.2
28,Kwes,Songs for Midi EP,14/04/2018,7.5
29,E-40,Connected and Respected,14/04/2018,6.7
30,John Prine,Tree of Forgiveness,13/04/2018,7.6
31,A Place to Bury Strangers,Pinned ,13/04/2018,5.3
32,Various Artist,Universal Love: Wedding Songs Reimagined EP,13/04/2018,6.4
33,FranÌ_oise Hardy,Personne d‰Ûªautre,13/04/2018,6.5
34,Eels,The Deconstruction,13/04/2018,3
35,Saba,CARE FOR ME,12/04/2018,8.7
36,Cavalier,Private Stock,12/04/2018,7.5
37,Husalah,H ,12/04/2018,7.2
38,Say Sue Me ,Where We Were Together,12/04/2018,6.8
39,Kali Uchis,Isolation,11/04/2018,8.6
40,Lil Xan,Total Xanarchy ,11/04/2018,4.7
41,Mind Over Mirrors,Bellowing Sun,11/04/2018,8
