artists,albums,genre,release_date,ratings
The National,Boxer (Live in Brussels),['Rock'],2018-04-21,6.0
Smokepurpp,Bless Yo Trap ,['Rap'],2018-04-21,4.8
Shuggie Otis,Inter-Fusion ,['Rock'],2018-04-21,4.6
Post Animal,When I Think of You in a Castle,['Rock'],2018-04-21,6.9
John Maus,Addendum ,"['Experimental', 'Rock']",2018-04-20,7.4
Alexis Taylor,Beautiful Thing ,['Electronic'],2018-04-20,6.8
International Harvester,Remains,['Rock'],2018-04-20,8.4
"nothing,nowhere.",ruiner,['Rap'],2018-04-20,5.6
Various Artist,BC35: The 35 Year Anniversary of BC Studio,[],2018-04-20,7.3
Tinashe,Joyride ,['Pop/R&B'],2018-04-19,6.8
Robert Glasper,The ArtScience Remixes EP,"['Jazz', 'Pop/R&B']",2018-04-19,6.7
Littlebabyangel,Gada,['Pop/R&B'],2018-04-19,7.3
Lena Willikens,Selectors 005,['Electronic'],2018-04-19,7.8
Mouse on Mars,Dimensional People,['Electronic'],2018-04-18,7.6
Princess Nokia,A Girl Cried Red,['Rap'],2018-04-18,5.9
Ross From Friends,Aphelion EP,['Electronic'],2018-04-18,7.1
Daniel Avery,Song for Alpha,['Electronic'],2018-04-18,6.7
Neil Young,Roxy: Tonight’s the Night Live ,['Rock'],2018-04-17,8.3
War On Women,Capture the Flag,['Rock'],2018-04-17,7.6
Sarah Davachi,Let Night Come On Bells End the Day,['Electronic'],2018-04-17,7.5
GUM,The Underdog,['Rock'],2018-04-17,7.2
Mr. Fingers,Cerebral Hemispheres,['Electronic'],2018-04-16,7.4
King Tuff,The Other,['Rock'],2018-04-16,6.5
µ-Ziq,Challenge Me Foolish,['Electronic'],2018-04-16,5.8
Florentino ,Fragmentos EP,['Electronic'],2018-04-16,7.3
Eminem,The Marshall Mathers LP,['Rap'],2018-04-15,9.4
Various Artist,Johnny Cash: Forever Words,[],2018-04-14,7.0
Anna & Elizabeth,The Invisible Comes to Us,['Experimental'],2018-04-14,7.2
Kwes,Songs for Midi EP,['Experimental'],2018-04-14,7.5
E-40,Connected and Respected,['Rap'],2018-04-14,6.7
John Prine,Tree of Forgiveness,['Folk/Country'],2018-04-13,7.6
A Place to Bury Strangers,Pinned ,['Rock'],2018-04-13,5.3
Various Artist,Universal Love: Wedding Songs Reimagined EP,[],2018-04-13,6.4
Françoise Hardy,Personne d’autre,['Pop/R&B'],2018-04-13,6.5
Eels,The Deconstruction,['Rock'],2018-04-13,3.0
Saba,CARE FOR ME,['Rap'],2018-04-12,8.7
Cavalier,Private Stock,['Rap'],2018-04-12,7.5
Husalah,H ,['Rap'],2018-04-12,7.2
Say Sue Me ,Where We Were Together,['Rock'],2018-04-12,6.8
Kali Uchis,Isolation,['Pop/R&B'],2018-04-11,8.6
Lil Xan,Total Xanarchy ,['Rap'],2018-04-11,4.7
Mind Over Mirrors,Bellowing Sun,['Experimental'],2018-04-11,8.0
Tom Misch,Geography,[],2018-04-11,6.5
Cardi B,Invasion of Privacy,['Rap'],2018-04-10,8.7
Flatbush Zombies,Vacation in Hell,['Rap'],2018-04-10,7.1
Makeness,Loud Patterns,['Electronic'],2018-04-10,7.2
Project Pablo,There’s Always More at the Store EP,['Electronic'],2018-04-10,6.7
Unknown Mortal Orchestra,Sex & Food,['Rock'],2018-04-09,7.0
Glasser,Sextape,['Electronic'],2018-04-09,7.8
Rich the Kid,The World Is Yours,['Rap'],2018-04-09,6.6
