artist,twitter,instagram,facebook,spotify,soundcloud,youtube
Flash Bang Grenada,0,0,0,346,0,0
Aggro Santos,63771,27415,596562,4675,585,7975
AKA,38958,0,0,22298,0,3643764
Shlohmo,91790,59340,209063,141268,283539,0
Glasses Malone,68417,48745,93741,16402,0,0
Shabazz Palaces,8300,0,43263,62059,5127,0
Mac Miller,8855106,3496926,5150905,2195232,403301,1361942
Phonte,131790,0,50634,29514,1,0
J. Cole,10754376,3023760,5436487,4992271,1959171,2309374
Cities Aviv,6742,3172,11797,7127,7120,0
Pac Div,22145,5673,54102,30476,17211,0
B.G. Knocc Out,20347,0,33366,4474,551,0
AraabMuzik,102133,180603,171484,45660,134450,22292
Emika,5593,0,46274,23494,20722,10229
Big Sean,14882725,10154422,6996975,3928708,9501002,2859462
Jay Rock,579041,316614,440429,251787,6311,0
DELS,4658,0,581,3922,0,2202
Torae,46742,43118,29421,8556,3621,6474
Saigon,59061,0,34752,20007,0,0
Clams Casino,78572,30016,124734,91189,149011,28002
Cali Swag District,75540,986,0,58036,0,8818
Ab-Soul,1023418,516523,512839,381059,1460700,0
Mann,351791,0,27229,17864,0,0
David Carreira,253346,469998,1016706,49699,0,212844
Mindless Behavior,568,57630,86,145679,0,643505
The Internet,285338,0,207242,393164,177025,643473
Yelawolf,558423,744953,2155380,706509,25072,981924
Smoke DZA,157222,147326,207900,78987,55449,8104
Mr. Envi',0,0,0,387,0,0
Kendrick Lamar,10641307,9521393,8853463,8713483,410014,5924221
ScHoolboy Q,2439450,1981289,2423217,1720232,272671,1077545
X-Pistols,0,0,0,0,0,0
Rizzle Kicks,1376688,221526,1059478,248740,278118,180922
Cher Lloyd,7650000,2147329,7098067,1354395,57314,2837257
Fly Union,11409,0,0,7266,5943,10072
Theophilus London,123953,186265,140104,78812,10299,19519
Snow Tha Product,146765,709499,2576001,132438,74697,485609
Max B,72931,0,0,57176,0,760
Verbal,0,0,0,425,0,0
SNO (Lil Wyte JellyRoll BPZ),0,0,0,0,0,0
Koncept,16241,24617,4802,1106,2074,1899
THEESatisfaction,7244,4845,4119,12432,5093,0
Cover Drive,114815,19025,154150,61563,0,32240
2 Chainz,4213051,4566472,6145306,2647895,187250,2640612
DeStorm Power hosted by DJ Whoo Kid,313279,4369687,3824798,19513,29053,555342
Gary Clark Jr.,113379,231253,424011,394820,886877,140031
Main Attrakionz,330,0,9854,5462,2959,0
Chiddy Bang,69827,0,627240,311450,15272,34257
The Gaslamp Killer,60918,57347,114801,51921,35613,0
Kalenna Harper,57916,429841,46869,4503,3965,0
Meek Mill,6903420,12863795,6501171,1737368,329321,2250496
Toya Delazy,133529,0,459722,1012,0,0
Labrinth,1036043,222993,987025,570448,94603,770629
The Hood Internet,16525,0,38121,10128,103158,17604
Tulisa,3523457,487509,726932,79985,0,0
Chief Keef,1246905,4559375,0,1041191,287881,169815
Travis Porter,488836,65293,2289344,399375,6914,230794
Delilah,0,611643,1622303,40083,0,55998
Rye Rye,39555,0,96532,20276,0,1765
Loreen,18608,24415,594030,157607,0,50578
Macklemore & Ryan Lewis,2763553,4239705,6339971,2088782,2674976,6108595
Hiphop Tamizha,655941,1491212,2794530,13756,0,641349
Rapsody,37,151194,88576,57098,8503,35992
Machine Gun Kelly,1127276,3247918,4956129,1035892,155617,3690308
Big K.R.I.T.,771284,524329,957568,281620,8126644,97662
Envy,787550,0,231512,1667,0,0
Riz MC,175946,309053,65190,5829,11347,3758
Lil Ugly Mane,0,0,36015,16329,36139,10288
Froggy Fresh,53211,19839,242772,21010,2390,604019
Death Grips,0,0,0,0,117223,198279
Davido,3660345,6361937,3838277,85232,15126,450061
Kool A.D.,33299,13278,6572,12195,918,5602
Future,5147749,12230982,7344582,6186866,9710262,4776208
JK Flesh,0,0,29334,2851,2771,0
Jeremiah Jae,10298,0,16202,8884,21081,3305
Beautiful Eulogy,22054,21944,33663,35500,621,60444
Kreayshawn,627248,306166,549862,101195,19882,263709
Dan Le Sac,33124,0,19887,7021,5092,2517
The Original Rudeboys,43429,0,70953,7486,493,23004
Diggy Simmons,1727959,1465267,2864166,3822,18688,168895
Kid Ink,1139364,2961015,6656006,1636896,327367,501936
Swoope,46277,0,54577,25498,2795,214264
Terrace Martin,48715,85757,10489,26253,13585,0
King Krule,13527,23814,244667,292780,64564,110900
Def Dee,0,0,0,248,0,0
Durag Dynasty,0,0,0,857,0,0
Crooked I,0,0,0,0,0,0
Alex Faith,25382,21310,15179,11840,0,231
Bo Bruce,57564,4586,47852,6093,2698,4106
Feed Me,237272,115013,600431,248263,309367,157452
Capital Kings,44868,123587,169463,120307,14148,200750
Angel Haze,148465,108224,277433,106136,18,87859
