artist,twitter,instagram,facebook,spotify,soundcloud,youtube
Cerebral Ballzy,"5,362","4,969","33,535","8,448","1,974","2,453"
Ford & Lopatin,"1,464",,,"3,386","6,930",
Phonte,"131,734",,"50,642","29,170",1,
Chiaki Kuriyama,,,,617,,
Scotty McCreery,"1,018,099","442,719","2,219,790","304,445",,"317,770"
J. Cole,"10,637,802","2,612,162","5,425,200","4,866,137","1,946,083","2,071,583"
Collectif Paris-Africa,,,,"2,038",,2
Yellowbirds,87,,"2,537","1,476",,
Miles Kane,"188,711","154,716","277,891","128,201","10,358","52,113"
Ringo Deathstarr,"6,111","6,893","36,835","20,133",,
Casey Darnell,"9,063","10,492","11,397","2,196",204,"1,267"
Gideon,,,,711,,
Craig Campbell,"142,924","80,313","383,604","131,407",156,"27,532"
David Lynch,"3,520,131",,"1,299,951","66,996",,"48,465"
Still Corners,"3,531","1,842","34,729","46,110","8,592","1,073"
Young Legionnaire,"4,213",731,"4,564","1,293","13,952",267
Cults,"39,185","8,524","212,177","154,906",,"26,030"
Young Rebel Set,"3,737","1,142","24,478","8,908",929,"1,376"
Brite Futures,"2,306",,"5,262","2,125",388,874
Girls Names,"2,817","1,832","28,249","11,075",198,"1,124"
